IDENTITY_ID,TARGET_FLAG,OB_VC_Actv_Days,IB_VC_Actv_Days,GPRS_Actv_Days,OB_SMS_Actv_Days,IB_SMS_Actv_Days,RECH_Actv_Days,RECH_AMT,GPRS_REV,GPRS_SUB_REV,GPRS_FLAG,RECH_FLAG,GPRS_VOL_MB,Tech_Awareness,NW Experience,Sites_Perc,Target_SUB_Perc,Target_Conv_Perc
100,1,26,30,0,29,30,10,600,0,0,0,1,0,0,0.92,0.71,0.0611,0.0075
101,0,30,26,16,30,30,6,620,31.555,24,1,1,1310.6,1,0.96,0.12,0.013,0.0163
102,0,30,29,3,30,30,9,600,20.259,0,1,1,92.5,0,0.96,0.96,0.0809,0.0286
103,0,22,26,26,0,5,12,670,179.747,120,1,1,3291.3,1,0.98,0.12,0.0004,0.072
104,0,4,10,1,0,1,2,80,0,0,1,1,0.1,0,0.99,0.54,0.0483,0.0178
105,1,26,28,9,3,7,7,230,0,0,1,1,60.1,0,0.92,0.4,0.0231,0.0477
106,0,0,2,2,0,0,2,70,0,45,1,1,3603.4,1,0,0.68,0.0645,0.0304
107,0,8,8,2,29,30,1,100,9.45,0,1,1,0,0,0.98,0.96,0.0849,0.0671
108,0,1,1,28,0,1,0,0,153.581,0,1,0,2988.9,1,1,0.41,0.0407,0.0211
109,1,19,21,12,2,3,1,30,0,0,1,1,0.1,0,0.94,0.51,0.0463,0.0073
110,0,29,26,3,30,29,8,600,0,0,1,1,0.1,0,0.99,0.96,0.0849,0.0671
111,0,16,24,5,1,9,4,220,38.723,0,1,1,3.7,0,1,0.23,0.0269,0.0265
112,0,29,29,3,10,29,4,150,71.052,0,1,1,121.8,0,0.97,0.98,0.0903,0.0204
113,0,26,29,22,1,5,4,800,0,0,1,1,3305.7,1,0.96,0.9,0.0901,0.1266
114,1,20,30,1,8,7,2,300,0,0,1,1,3.3,1,0.96,0.38,0.0385,0.0165
115,0,10,27,1,30,30,3,150,0,0,1,1,0.3,0,0.98,0.59,0.0458,0.0023
116,0,16,29,30,26,30,8,1610,129.329,944,1,1,21850.4,1,0.98,0.79,0.0177,-0.0285
117,0,22,28,30,1,11,2,550,0,0,1,1,5323.2,1,1,0.12,0.0004,0.072
118,0,8,30,8,0,8,4,400,54.49,168,1,1,809.5,1,0.95,0.46,0.0239,0.0091
119,0,30,24,19,24,27,5,690,23.4,0,1,1,2096.2,1,0.96,0.34,0.0293,0.006
120,0,13,7,2,0,2,2,80,0,0,1,1,0,0,0.95,0.35,0.0536,0.0118
121,0,23,22,7,0,6,4,190,0,0,1,1,10.5,0,0.99,0.47,0.0321,0.014
122,1,16,14,12,30,30,6,800,64.863,400.98,1,1,10576.9,1,1,0.99,0.0788,0.0405
123,1,30,30,0,0,3,8,700,0,0,0,1,0,0,0.88,0.56,0.0586,0.0476
124,0,5,24,30,23,23,2,200,37.782,1.01,1,1,573,1,0.97,0.64,0.0123,-0.0083
125,1,23,27,30,8,12,11,1960,159.707,312.99,1,1,10799.2,1,1,0.99,0.0788,0.0405
126,1,4,19,8,0,2,1,200,0,1,1,1,1313.6,1,0.97,0.57,0.0551,0.0189
127,1,0,0,11,0,0,1,210,0,0,1,1,3798.1,1,1,0.9,0.0901,0.1266
128,1,3,5,30,2,2,1,50,28.556,0,1,1,2337.9,1,0.92,0.92,0.0997,0.0498
129,0,30,29,8,1,3,26,900,0,0,1,1,1.2,0,0.97,0.96,0.0849,0.0671
130,1,30,24,0,0,3,9,365,0,0,0,1,0,0,0.96,0.27,0.028,0.0253
131,1,9,27,0,1,9,1,100,0,0,0,1,0,0,0.94,0.99,0.0943,0.0147
132,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.46,0.0427,0.0026
133,1,27,23,0,5,13,5,330,0,0,0,1,0,0,0.96,0.55,0.0127,0.0254
134,0,25,19,26,19,22,2,80,33.793,0,1,1,840.3,0,0.97,0.64,0.0123,-0.0083
135,0,1,6,14,14,19,3,150,13.479,75,1,1,904.4,0,0.97,0.68,0.0645,0.0304
136,1,20,24,11,1,2,2,450,1.529,12,1,1,1189.5,1,0.98,0.9,0.0901,0.1266
137,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0.47,0.0321,0.014
138,0,27,24,13,2,8,1,350,0,0,1,1,80.1,0,0.96,0.99,0.0943,0.0147
139,1,7,30,0,0,3,1,35,0,0,0,1,0,0,0.99,0.78,0.0465,0.0156
140,1,15,21,1,5,6,3,180,0.75,0,1,1,0,0,0.98,0.57,0.0551,0.0189
141,1,2,23,2,0,1,1,50,0,0,1,1,3.9,0,0.99,0.79,0.0466,0.0136
142,0,11,8,11,0,16,2,240,5.546,160.1,1,1,4196.9,1,1,0.79,0.0466,0.0136
143,1,11,17,7,0,2,7,270,33.128,16,1,1,626,1,0.95,0.96,0.0809,0.0286
144,0,3,1,30,0,1,5,1100,69.014,0,1,1,14699.6,1,1,0.98,0.0903,0.0204
145,0,20,29,1,9,27,8,520,0,0,1,1,14.2,0,0.86,0.07,0.0225,0.0591
146,1,3,4,0,0,0,1,30,0,0,0,1,0,0,0.83,0.9,0.0705,0.0186
147,1,24,25,30,1,15,10,1400,125.016,528,1,1,5409.2,1,0.99,0.99,0.1007,0.0918
148,1,30,27,19,0,20,7,280,49.431,36,1,1,524.5,0,0.98,0.56,0.0586,0.0476
149,0,5,17,4,1,2,2,100,1.66,0,1,1,0.2,0,1,0.96,0.0849,0.0671
150,1,9,27,0,1,0,2,100,0,0,0,1,0,0,0.97,0.84,0.0552,-0.0028
151,0,3,27,1,1,3,1,100,0,0,1,1,1.2,0,0.98,0.67,0.0643,0.0194
152,1,10,23,8,15,16,5,350,75.109,104.1,1,1,2331.6,1,0.96,0.12,0.0004,0.072
153,0,8,29,1,30,30,2,150,0,0,1,1,0,0,0.97,0.64,0.0123,-0.0083
154,0,1,7,30,1,10,1,250,0.02,0,1,1,2705.2,1,1,0.38,0.0385,0.0165
155,0,12,23,24,2,1,2,400,18.564,170,1,1,4311.6,1,0.99,0.9,0.0705,0.0186
156,0,12,21,3,0,0,5,175,0,0,1,1,0.2,0,0.99,0.04,0.0109,0.0381
157,1,15,9,1,1,3,1,100,0,0,1,1,0.1,0,0.99,0.79,0.0466,0.0136
158,0,26,28,7,8,22,1,350,0,0,1,1,47.2,0,0.91,0.93,0.0723,0.0294
159,1,1,4,4,2,1,0,0,0,0,1,0,28.3,0,1,0.52,0.0315,0.0187
160,0,17,28,2,0,2,8,370,1.35,0,1,1,0,0,0.96,0.47,0.0273,-0.0075
161,1,2,14,13,1,2,1,190,14.4,108,1,1,440.4,1,0.93,0.96,0.0809,0.0286
162,1,4,9,0,0,3,1,100,0,0,0,1,0,0,0.94,0.12,0.0004,0.072
163,1,10,27,29,7,7,5,350,81,0,1,1,0.5,0,0.98,0.97,0.0886,0.0408
164,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0.52,0.0315,0.0187
165,1,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0228,0.1219
166,0,14,29,10,1,9,2,150,72.927,0,1,1,80.4,1,0.99,0.55,0.0127,0.0254
167,0,15,29,30,1,15,14,769,125.681,132.02,1,1,8362.9,1,0.92,0.73,0.0523,0.0245
168,0,8,22,3,3,2,2,100,8.408,0,1,1,9.1,0,0.96,0.98,0.0903,0.0204
169,0,25,29,11,4,13,3,900,0,0,1,1,47.5,0,0.98,0.99,0.1007,0.0918
170,1,25,26,29,0,2,2,500,14.85,0,1,1,0.1,0,0.98,0.64,0.0445,0.0345
171,1,0,0,0,0,0,1,50,0,0,0,1,0,0,0,0.12,0.0004,0.072
172,0,20,24,30,1,4,5,1190,195.788,79,1,1,9223.7,1,1,0.12,0.0004,0.072
173,1,11,11,13,1,5,3,250,111.673,78,1,1,2035.7,1,0.97,0.69,0.0597,-0.0104
174,0,12,25,1,0,0,6,210,0,0,1,1,0,0,0.89,0.46,0.0445,-0.0081
175,1,29,28,24,6,24,1,50,1.35,0,1,1,1267,1,0.97,0.94,0.0616,-0.0008
176,1,2,29,0,0,2,1,50,0,0,0,1,0,0,0.95,0.44,0.044,0.0559
177,0,24,12,7,6,8,5,500,137.904,0,1,1,8.6,0,0.91,0.96,0.0849,0.0671
178,1,24,18,19,0,8,4,160,0,0.01,1,1,423.1,1,0.95,0.79,0.0466,0.0136
179,0,30,30,8,30,29,14,2030,103.959,112,1,1,1483.2,0,0.92,0.97,0.0886,0.0408
180,1,29,25,30,30,28,6,1100,4.5,170,1,1,18695,1,0.99,0.92,0.0643,0.0382
181,1,30,28,5,0,7,11,530,0,45,1,1,131.5,1,0.99,0.97,0.0886,0.0408
182,1,13,16,20,21,21,5,680,62.146,380,1,1,14752.3,1,0.98,0.78,0.0465,0.0156
183,1,16,15,16,1,1,1,50,18.908,0,1,1,424.3,1,0.98,0.42,0.0327,0.0091
184,0,28,23,21,17,12,6,970,39.764,32,1,1,1523.6,1,0.94,0.96,0.0809,0.0286
185,0,23,29,4,4,7,5,550,94.053,0,1,1,9.3,1,0.96,0.96,0.0849,0.0671
186,0,5,13,29,0,0,4,825,21.313,415,1,1,4825.8,1,0.98,0.64,0.0709,0.034
187,0,24,27,29,0,5,7,1450,379.615,0,1,1,3498.2,1,0.92,0.98,0.0903,0.0204
188,1,16,26,23,2,1,4,400,0,0,1,1,1375.7,1,0.95,0.92,0.0643,0.0382
189,0,3,4,13,0,0,1,100,0,0,1,1,121.3,0,1,0.97,0.0886,0.0408
190,0,9,30,6,1,7,2,200,54,0,1,1,4.9,1,1,0.99,0.0943,0.0147
191,0,5,4,12,26,30,1,100,1.56,0,1,1,0,0,1,0.96,0.0849,0.0671
192,0,2,16,5,0,0,2,100,48.193,0,1,1,13.7,1,0.98,0.59,0.0458,0.0023
193,0,16,24,2,0,3,3,150,7.675,0,1,1,1.7,0,0.96,0.97,0.0886,0.0408
194,0,17,17,1,25,25,2,246,0,0,1,1,0.1,0,0.98,0.98,0.0903,0.0204
195,1,30,30,4,3,6,8,1520,0,0,1,1,0.2,0,1,0.39,0.0177,0.0533
196,0,0,17,3,4,1,1,50,12.15,0,1,1,0.1,0,0.97,0.4,0.032,0.0077
197,0,13,6,20,1,0,7,1120,305.314,18,1,1,11448.3,1,0.88,0.92,0.0997,0.0498
198,0,28,28,6,8,20,1,350,0,0,1,1,495.9,1,0.96,0.9,0.0901,0.1266
199,1,25,27,0,2,3,10,480,0,0,0,1,0,0,0.95,0.96,0.0849,0.0671
200,0,19,22,18,25,26,7,780,10.137,87,1,1,6123,1,0.99,0.69,0.0597,-0.0104
